EMPID,EducationField,JobRole,MonthlyRate,YearsAtCompany
E00001,Life Sciences,Sales Executive,19479,6
E00002,Life Sciences,Research Scientist,24907,10
E00003,Other,Laboratory Technician,2396,0
E00004,Life Sciences,Research Scientist,23159,8
E00005,Medical,Laboratory Technician,16632,2
E00006,Life Sciences,Laboratory Technician,11864,7
E00007,Medical,Laboratory Technician,9964,1
E00008,Life Sciences,Laboratory Technician,13335,1
E00009,Life Sciences,Manufacturing Director,8787,9
E00010,Medical,Healthcare Representative,16577,7
E00011,Medical,Laboratory Technician,16479,5
E00012,Life Sciences,Laboratory Technician,12682,9
E00013,Life Sciences,Research Scientist,15170,5
E00014,Medical,Laboratory Technician,8758,2
E00015,Life Sciences,Laboratory Technician,12947,4
E00016,Life Sciences,Manufacturing Director,10195,10
E00017,Life Sciences,Research Scientist,15053,6
E00018,Medical,Laboratory Technician,7324,1
E00019,Life Sciences,Manager,22021,25
E00020,Life Sciences,Research Scientist,4306,3
E00021,Other,Manufacturing Director,8232,4
E00022,Life Sciences,Sales Representative,6986,5
E00023,Life Sciences,Research Director,21293,12
E00024,Life Sciences,Research Scientist,19281,0
E00025,Medical,Research Scientist,17102,4
E00026,Other,Manager,10735,14
E00027,Life Sciences,Research Scientist,4681,10
E00028,Marketing,Sales Executive,21173,9
E00029,Medical,Healthcare Representative,2094,22
E00030,Marketing,Manager,22822,2
E00031,Medical,Laboratory Technician,6670,1
E00032,Other,Healthcare Representative,19121,4
E00033,Medical,Laboratory Technician,16117,10
E00034,Technical Degree,Sales Representative,3335,1
E00035,Medical,Research Scientist,3020,2
E00036,Medical,Research Scientist,21923,5
E00037,Marketing,Sales Representative,3810,3
E00038,Marketing,Sales Representative,9687,2
E00039,Life Sciences,Research Scientist,13072,1
E00040,Life Sciences,Sales Executive,3193,5
E00041,Other,Laboratory Technician,10910,1
E00042,Life Sciences,Laboratory Technician,19715,1
E00043,Life Sciences,Laboratory Technician,10558,1
E00044,Life Sciences,Sales Executive,2975,9
E00045,Medical,Laboratory Technician,10781,12
E00046,Technical Degree,Research Director,16280,22
E00047,Marketing,Sales Executive,10034,9
E00048,Life Sciences,Research Scientist,10227,1
E00049,Marketing,Sales Executive,20445,9
E00050,Life Sciences,Laboratory Technician,4892,1
E00051,Life Sciences,Laboratory Technician,19294,1
E00052,Technical Degree,Laboratory Technician,11179,2
E00053,Marketing,Sales Executive,4009,4
E00054,Medical,Healthcare Representative,8302,4
E00055,Marketing,Sales Executive,21436,2
E00056,Life Sciences,Research Director,15146,15
E00057,Life Sciences,Sales Executive,11031,9
E00058,Medical,Laboratory Technician,16002,2
E00059,Life Sciences,Laboratory Technician,9528,7
E00060,Life Sciences,Manufacturing Director,2689,7
E00061,Medical,Manufacturing Director,10877,9
E00062,Life Sciences,Laboratory Technician,5456,10
E00063,Medical,Research Director,16701,27
E00064,Life Sciences,Sales Executive,2354,21
E00065,Technical Degree,Healthcare Representative,8202,17
E00066,Medical,Manager,19730,5
E00067,Life Sciences,Manufacturing Director,22656,6
E00068,Life Sciences,Research Scientist,18787,1
E00069,Medical,Research Scientist,5868,3
E00070,Medical,Research Scientist,21777,1
E00071,Life Sciences,Sales Executive,24668,4
E00072,Life Sciences,Research Scientist,4956,5
E00073,Medical,Research Scientist,18775,1
E00074,Life Sciences,Research Scientist,7346,10
E00075,Life Sciences,Laboratory Technician,22002,1
E00076,Life Sciences,Manufacturing Director,20682,11
E00077,Marketing,Sales Executive,23016,15
E00078,Other,Research Director,15067,0
E00079,Medical,Research Director,25258,5
E00080,Medical,Human Resources,10425,4
E00081,Life Sciences,Laboratory Technician,15998,10
E00082,Medical,Research Scientist,26278,6
E00083,Life Sciences,Sales Executive,18092,1
E00084,Medical,Research Scientist,15717,13
E00085,Medical,Manufacturing Director,17736,5
E00086,Life Sciences,Manufacturing Director,21698,6
E00087,Technical Degree,Sales Representative,9518,0
E00088,Life Sciences,Laboratory Technician,18725,4
E00089,Life Sciences,Healthcare Representative,15830,11
E00090,Medical,Sales Executive,13596,9
E00091,Life Sciences,Healthcare Representative,14115,22
E00092,Marketing,Sales Executive,8423,10
E00093,Medical,Sales Executive,19760,11
E00094,Medical,Healthcare Representative,3142,10
E00095,Medical,Sales Executive,24301,11
E00096,Technical Degree,Research Director,24001,4
E00097,Other,Sales Executive,17519,3
E00098,Medical,Sales Executive,8863,5
E00099,Medical,Sales Executive,24409,37
E00100,Medical,Laboratory Technician,25043,3
E00101,Human Resources,Human Resources,23648,3
E00102,Life Sciences,Research Scientist,15178,1
E00103,Life Sciences,Laboratory Technician,19783,1
E00104,Other,Research Scientist,12482,16
E00105,Life Sciences,Healthcare Representative,15850,1
E00106,Human Resources,Manager,21922,3
E00107,Life Sciences,Research Director,9755,8
E00108,Marketing,Sales Executive,26959,6
E00109,Medical,Research Scientist,26897,2
E00110,Medical,Laboratory Technician,23785,0
E00111,Medical,Healthcare Representative,25796,13
E00112,Life Sciences,Laboratory Technician,22887,9
E00113,Human Resources,Manager,13871,5
E00114,Life Sciences,Laboratory Technician,13257,5
E00115,Life Sciences,Research Scientist,15000,1
E00116,Life Sciences,Sales Executive,14506,5
E00117,Medical,Manager,5615,11
E00118,Technical Degree,Sales Executive,22952,9
E00119,Life Sciences,Laboratory Technician,2561,1
E00120,Life Sciences,Manager,19494,25
E00121,Life Sciences,Research Scientist,22310,10
E00122,Marketing,Sales Executive,15480,7
E00123,Life Sciences,Research Scientist,4510,5
E00124,Life Sciences,Research Director,6462,20
E00125,Life Sciences,Sales Executive,20739,7
E00126,Other,Research Scientist,23300,5
E00127,Medical,Healthcare Representative,3465,40
E00128,Marketing,Sales Representative,26820,0
E00129,Technical Degree,Laboratory Technician,19299,2
E00130,Medical,Manufacturing Director,5549,15
E00131,Medical,Research Scientist,16090,3
E00132,Marketing,Sales Executive,6645,2
E00133,Life Sciences,Sales Executive,24788,2
E00134,Life Sciences,Sales Executive,21196,9
E00135,Life Sciences,Human Resources,8916,8
E00136,Medical,Manufacturing Director,2819,3
E00137,Life Sciences,Manufacturing Director,25150,4
E00138,Life Sciences,Sales Executive,14590,15
E00139,Life Sciences,Sales Executive,24835,2
E00140,Human Resources,Human Resources,13982,11
E00141,Medical,Laboratory Technician,10224,5
E00142,Medical,Research Scientist,9752,6
E00143,Technical Degree,Research Scientist,2302,3
E00144,Life Sciences,Research Scientist,23910,5
E00145,Medical,Sales Executive,22812,8
E00146,Technical Degree,Research Scientist,10415,3
E00147,Medical,Laboratory Technician,11162,5
E00148,Life Sciences,Manager,12888,7
E00149,Life Sciences,Laboratory Technician,6961,5
E00150,Medical,Laboratory Technician,16102,1
E00151,Medical,Research Scientist,8504,20
E00152,Marketing,Sales Executive,11439,10
E00153,Marketing,Sales Representative,16047,7
E00154,Life Sciences,Laboratory Technician,10901,17
E00155,Marketing,Sales Executive,15589,9
E00156,Technical Degree,Manufacturing Director,26283,10
E00157,Medical,Manufacturing Director,13983,1
E00158,Medical,Research Scientist,11873,1
E00159,Marketing,Sales Executive,8552,12
E00160,Marketing,Sales Representative,11314,4
E00161,Medical,Research Scientist,11992,2
E00162,Medical,Research Scientist,5970,2
E00163,Medical,Research Scientist,6672,5
E00164,Life Sciences,Healthcare Representative,23402,5
E00165,Medical,Research Scientist,25326,1
E00166,Life Sciences,Manager,17053,5
E00167,Life Sciences,Research Scientist,4609,9
E00168,Life Sciences,Sales Executive,8053,10
E00169,Life Sciences,Sales Executive,12930,8
E00170,Life Sciences,Research Scientist,12430,5
E00171,Technical Degree,Research Scientist,13364,5
E00172,Technical Degree,Sales Representative,20989,0
E00173,Medical,Laboratory Technician,15062,8
E00174,Medical,Laboratory Technician,11012,12
E00175,Life Sciences,Sales Executive,6319,5
E00176,Life Sciences,Research Scientist,13939,2
E00177,Life Sciences,Research Scientist,10515,3
E00178,Life Sciences,Laboratory Technician,9241,1
E00179,Marketing,Sales Executive,2137,24
E00180,Life Sciences,Laboratory Technician,6319,2
E00181,Medical,Research Scientist,6984,4
E00182,Medical,Research Scientist,5711,3
E00183,Marketing,Sales Representative,21728,4
E00184,Medical,Laboratory Technician,3425,3
E00185,Medical,Manufacturing Director,26250,4
E00186,Medical,Research Scientist,4673,8
E00187,Medical,Manager,6499,20
E00188,Medical,Research Director,13339,24
E00189,Life Sciences,Manufacturing Director,14074,10
E00190,Medical,Healthcare Representative,7192,7
E00191,Life Sciences,Manager,5678,33
E00192,Medical,Research Scientist,11781,7
E00193,Life Sciences,Manufacturing Director,15497,1
E00194,Medical,Research Scientist,5228,5
E00195,Medical,Manager,20462,20
E00196,Life Sciences,Research Scientist,22977,8
E00197,Medical,Laboratory Technician,15986,6
E00198,Medical,Manufacturing Director,16439,5
E00199,Life Sciences,Manufacturing Director,7259,1
E00200,Technical Degree,Manufacturing Director,4185,7
E00201,Technical Degree,Manufacturing Director,9679,2
E00202,Life Sciences,Manufacturing Director,23793,7
E00203,Medical,Research Scientist,5972,5
E00204,Medical,Laboratory Technician,16523,7
E00205,Medical,Healthcare Representative,11354,1
E00206,Marketing,Sales Executive,24525,10
E00207,Life Sciences,Research Scientist,12392,4
E00208,Medical,Laboratory Technician,7703,8
E00209,Life Sciences,Healthcare Representative,14242,3
E00210,Medical,Healthcare Representative,12368,4
E00211,Medical,Sales Executive,25812,14
E00212,Life Sciences,Manufacturing Director,20925,11
E00213,Life Sciences,Sales Executive,12916,7
E00214,Life Sciences,Research Director,15736,10
E00215,Technical Degree,Research Scientist,8556,5
E00216,Life Sciences,Manager,14674,1
E00217,Marketing,Sales Executive,22967,6
E00218,Technical Degree,Research Scientist,19757,6
E00219,Medical,Sales Executive,16840,19
E00220,Marketing,Sales Executive,17011,6
E00221,Life Sciences,Laboratory Technician,9945,13
E00222,Medical,Research Scientist,13248,3
E00223,Other,Research Director,10056,10
E00224,Life Sciences,Sales Executive,9647,16
E00225,Medical,Manufacturing Director,4381,5
E00226,Life Sciences,Research Scientist,8456,1
E00227,Marketing,Sales Representative,2539,9
E00228,Medical,Sales Executive,6599,11
E00229,Marketing,Sales Executive,9096,10
E00230,Medical,Research Scientist,14961,4
E00231,Life Sciences,Laboratory Technician,3300,2
E00232,Technical Degree,Manager,4933,22
E00233,Medical,Human Resources,25657,2
E00234,Medical,Manager,24118,7
E00235,Medical,Laboratory Technician,22149,5
E00236,Marketing,Manager,7744,17
E00237,Life Sciences,Laboratory Technician,21509,9
E00238,Life Sciences,Manager,21030,33
E00239,Life Sciences,Sales Representative,20990,4
E00240,Life Sciences,Laboratory Technician,9571,3
E00241,Medical,Laboratory Technician,15417,3
E00242,Marketing,Sales Executive,12069,3
E00243,Life Sciences,Research Scientist,19877,1
E00244,Technical Degree,Research Scientist,24447,9
E00245,Other,Manager,15970,24
E00246,Medical,Research Director,13523,2
E00247,Life Sciences,Research Scientist,14776,2
E00248,Life Sciences,Manufacturing Director,23687,11
E00249,Medical,Research Scientist,18697,3
E00250,Life Sciences,Manufacturing Director,5118,3
E00251,Medical,Manufacturing Director,22573,1
E00252,Technical Degree,Healthcare Representative,6420,19
E00253,Life Sciences,Research Scientist,22673,6
E00254,Life Sciences,Research Scientist,23016,3
E00255,Marketing,Sales Executive,10732,3
E00256,Life Sciences,Manufacturing Director,7505,4
E00257,Medical,Laboratory Technician,8007,9
E00258,Medical,Research Director,5949,21
E00259,Life Sciences,Research Scientist,23231,1
E00260,Medical,Laboratory Technician,11652,5
E00261,Life Sciences,Laboratory Technician,26062,5
E00262,Life Sciences,Sales Executive,19682,8
E00263,Technical Degree,Laboratory Technician,19737,6
E00264,Technical Degree,Manager,14977,7
E00265,Life Sciences,Laboratory Technician,14935,0
E00266,Medical,Sales Executive,3687,0
E00267,Medical,Healthcare Representative,14408,9
E00268,Life Sciences,Healthcare Representative,18384,6
E00269,Medical,Healthcare Representative,7501,20
E00270,Life Sciences,Laboratory Technician,20251,15
E00271,Medical,Manager,18938,36
E00272,Life Sciences,Manager,10268,10
E00273,Medical,Research Scientist,2613,5
E00274,Medical,Sales Executive,22825,5
E00275,Medical,Research Scientist,10531,3
E00276,Medical,Research Director,11677,5
E00277,Life Sciences,Manager,19100,7
E00278,Medical,Sales Executive,19191,8
E00279,Life Sciences,Manufacturing Director,26767,6
E00280,Life Sciences,Research Director,15815,10
E00281,Medical,Research Director,21016,5
E00282,Life Sciences,Sales Executive,24532,20
E00283,Life Sciences,Sales Executive,20260,10
E00284,Technical Degree,Laboratory Technician,15972,10
E00285,Medical,Healthcare Representative,22722,5
E00286,Life Sciences,Research Scientist,15881,17
E00287,Life Sciences,Laboratory Technician,19920,1
E00288,Life Sciences,Healthcare Representative,18899,2
E00289,Medical,Laboratory Technician,14180,3
E00290,Life Sciences,Research Scientist,4488,5
E00291,Life Sciences,Research Director,25594,3
E00292,Technical Degree,Research Scientist,26285,8
E00293,Marketing,Sales Representative,3909,2
E00294,Marketing,Sales Executive,8450,8
E00295,Medical,Research Scientist,11411,4
E00296,Marketing,Sales Executive,14864,20
E00297,Life Sciences,Laboratory Technician,25233,0
E00298,Marketing,Sales Executive,5100,11
E00299,Life Sciences,Laboratory Technician,7122,1
E00300,Medical,Manufacturing Director,16321,4
E00301,Life Sciences,Manager,15896,22
E00302,Medical,Sales Representative,9724,0
E00303,Medical,Healthcare Representative,4824,8
E00304,Technical Degree,Sales Executive,12241,8
E00305,Medical,Healthcare Representative,10942,18
E00306,Life Sciences,Laboratory Technician,6927,9
E00307,Life Sciences,Sales Executive,16985,13
E00308,Life Sciences,Research Director,26707,10
E00309,Life Sciences,Healthcare Representative,17056,5
E00310,Technical Degree,Research Scientist,10077,5
E00311,Human Resources,Human Resources,17822,2
E00312,Life Sciences,Laboratory Technician,20308,24
E00313,Life Sciences,Research Scientist,7747,2
E00314,Life Sciences,Manager,23364,10
E00315,Medical,Manager,5355,21
E00316,Life Sciences,Laboratory Technician,10675,8
E00317,Technical Degree,Healthcare Representative,17810,7
E00318,Medical,Research Scientist,17747,8
E00319,Life Sciences,Research Scientist,20938,4
E00320,Technical Degree,Sales Executive,24624,13
E00321,Life Sciences,Sales Executive,5242,5
E00322,Marketing,Sales Executive,7143,7
E00323,Medical,Research Scientist,10557,7
E00324,Medical,Research Scientist,24737,3
E00325,Medical,Research Scientist,11934,10
E00326,Life Sciences,Manufacturing Director,14034,10
E00327,Medical,Manager,21141,21
E00328,Medical,Sales Executive,17778,1
E00329,Marketing,Sales Executive,4317,7
E00330,Life Sciences,Research Director,16375,3
E00331,Life Sciences,Laboratory Technician,6227,9
E00332,Marketing,Sales Executive,22107,5
E00333,Life Sciences,Research Scientist,16885,4
E00334,Life Sciences,Healthcare Representative,9262,1
E00335,Other,Research Scientist,9278,10
E00336,Medical,Sales Executive,13273,4
E00337,Other,Laboratory Technician,4759,7
E00338,Other,Laboratory Technician,7621,3
E00339,Marketing,Sales Executive,5431,10
E00340,Marketing,Sales Executive,3415,8
E00341,Medical,Manufacturing Director,23177,6
E00342,Life Sciences,Research Director,15682,11
E00343,Medical,Manufacturing Director,25713,11
E00344,Marketing,Sales Executive,11866,7
E00345,Technical Degree,Manufacturing Director,18264,16
E00346,Life Sciences,Research Scientist,16092,4
E00347,Medical,Manufacturing Director,10110,5
E00348,Medical,Sales Representative,25751,0
E00349,Life Sciences,Research Director,15901,1
E00350,Life Sciences,Sales Executive,16928,4
E00351,Technical Degree,Human Resources,24017,3
E00352,Medical,Laboratory Technician,3956,8
E00353,Medical,Manager,23978,0
E00354,Medical,Research Scientist,17001,7
E00355,Technical Degree,Sales Executive,6069,2
E00356,Life Sciences,Sales Executive,20156,8
E00357,Other,Healthcare Representative,17078,1
E00358,Technical Degree,Sales Representative,9150,3
E00359,Medical,Sales Executive,15276,1
E00360,Medical,Sales Executive,7246,13
E00361,Medical,Healthcare Representative,2967,3
E00362,Life Sciences,Laboratory Technician,22495,7
E00363,Medical,Sales Representative,2851,3
E00364,Marketing,Sales Representative,9150,1
E00365,Medical,Laboratory Technician,17663,5
E00366,Medical,Manufacturing Director,16044,1
E00367,Marketing,Sales Executive,9558,8
E00368,Technical Degree,Healthcare Representative,2755,4
E00369,Marketing,Sales Executive,6110,6
E00370,Life Sciences,Research Scientist,7551,2
E00371,Life Sciences,Sales Representative,25422,1
E00372,Life Sciences,Research Scientist,18168,3
E00373,Life Sciences,Healthcare Representative,19394,1
E00374,Medical,Laboratory Technician,17881,5
E00375,Life Sciences,Sales Executive,20750,7
E00376,Other,Healthcare Representative,12066,5
E00377,Life Sciences,Sales Executive,14862,7
E00378,Life Sciences,Research Scientist,11868,2
E00379,Marketing,Sales Executive,4652,5
E00380,Life Sciences,Manager,23258,5
E00381,Marketing,Sales Executive,5915,5
E00382,Technical Degree,Sales Representative,17434,1
E00383,Technical Degree,Research Scientist,6582,6
E00384,Medical,Research Scientist,24440,2
E00385,Medical,Sales Executive,3809,10
E00386,Technical Degree,Research Scientist,3427,1
E00387,Life Sciences,Laboratory Technician,26914,18
E00388,Marketing,Sales Executive,22553,5
E00389,Life Sciences,Laboratory Technician,20490,5
E00390,Life Sciences,Manufacturing Director,21123,1
E00391,Life Sciences,Research Director,4345,25
E00392,Medical,Laboratory Technician,13436,1
E00393,Medical,Research Director,8509,4
E00394,Marketing,Sales Executive,12740,3
E00395,Medical,Manufacturing Director,4156,13
E00396,Medical,Laboratory Technician,15238,3
E00397,Other,Healthcare Representative,2227,5
E00398,Life Sciences,Sales Executive,12090,5
E00399,Medical,Research Scientist,23866,13
E00400,Life Sciences,Laboratory Technician,16193,4
E00401,Life Sciences,Manager,8213,21
E00402,Life Sciences,Sales Executive,18256,7
E00403,Technical Degree,Sales Executive,19558,5
E00404,Marketing,Sales Executive,19566,10
E00405,Medical,Laboratory Technician,13535,10
E00406,Medical,Laboratory Technician,9396,2
E00407,Medical,Manufacturing Director,19609,5
E00408,Life Sciences,Research Scientist,9655,2
E00409,Life Sciences,Manager,10310,5
E00410,Life Sciences,Research Scientist,12932,5
E00411,Life Sciences,Manufacturing Director,24793,5
E00412,Life Sciences,Manager,3854,29
E00413,Medical,Manufacturing Director,26314,10
E00414,Technical Degree,Healthcare Representative,4386,6
E00415,Technical Degree,Sales Representative,21972,5
E00416,Marketing,Sales Representative,12253,2
E00417,Life Sciences,Laboratory Technician,12106,1
E00418,Life Sciences,Manager,13022,20
E00419,Life Sciences,Research Scientist,3032,3
E00420,Life Sciences,Laboratory Technician,16734,5
E00421,Medical,Research Director,21526,10
E00422,Technical Degree,Research Scientist,18300,2
E00423,Technical Degree,Human Resources,18437,1
E00424,Other,Sales Executive,2890,9
E00425,Marketing,Manager,22102,1
E00426,Life Sciences,Manager,9314,27
E00427,Medical,Laboratory Technician,7181,11
E00428,Marketing,Sales Executive,2845,18
E00429,Medical,Manufacturing Director,7389,5
E00430,Life Sciences,Research Director,2288,3
E00431,Life Sciences,Laboratory Technician,19225,5
E00432,Life Sciences,Laboratory Technician,23428,1
E00433,Life Sciences,Research Scientist,8416,7
E00434,Marketing,Sales Executive,11563,3
E00435,Life Sciences,Manufacturing Director,14394,13
E00436,Medical,Manager,24619,7
E00437,Medical,Laboratory Technician,6705,4
E00438,Marketing,Sales Representative,18398,3
E00439,Life Sciences,Healthcare Representative,14295,8
E00440,Life Sciences,Healthcare Representative,22908,1
E00441,Human Resources,Human Resources,11533,3
E00442,Other,Laboratory Technician,9260,2
E00443,Medical,Sales Executive,15318,10
E00444,Technical Degree,Laboratory Technician,9129,2
E00445,Marketing,Sales Executive,19658,9
E00446,Life Sciences,Manager,9873,10
E00447,Life Sciences,Sales Executive,13430,14
E00448,Marketing,Sales Executive,18659,11
E00449,Life Sciences,Manufacturing Director,20364,20
E00450,Life Sciences,Laboratory Technician,17872,8
E00451,Life Sciences,Sales Executive,8346,6
E00452,Medical,Manufacturing Director,6950,10
E00453,Other,Sales Executive,16177,8
E00454,Life Sciences,Human Resources,22808,7
E00455,Technical Degree,Manufacturing Director,22645,3
E00456,Medical,Research Director,22578,6
E00457,Life Sciences,Manager,25291,5
E00458,Marketing,Sales Representative,8059,0
E00459,Other,Sales Executive,11373,1
E00460,Other,Healthcare Representative,2112,8
E00461,Medical,Sales Executive,4267,0
E00462,Medical,Sales Executive,6698,5
E00463,Life Sciences,Sales Executive,19921,10
E00464,Technical Degree,Laboratory Technician,23213,1
E00465,Technical Degree,Manufacturing Director,23848,6
E00466,Medical,Healthcare Representative,8984,2
E00467,Life Sciences,Manager,5626,18
E00468,Medical,Sales Executive,24666,9
E00469,Technical Degree,Research Scientist,22087,10
E00470,Other,Sales Executive,23914,4
E00471,Medical,Sales Representative,5530,2
E00472,Medical,Healthcare Representative,22174,1
E00473,Life Sciences,Manufacturing Director,15701,6
E00474,Life Sciences,Research Director,2125,31
E00475,Medical,Research Scientist,21630,6
E00476,Marketing,Sales Executive,7428,5
E00477,Other,Laboratory Technician,9100,1
E00478,Medical,Manager,7999,32
E00479,Medical,Sales Representative,26376,7
E00480,Life Sciences,Laboratory Technician,14168,6
E00481,Life Sciences,Sales Representative,14470,1
E00482,Life Sciences,Research Scientist,22794,6
E00483,Medical,Sales Executive,11512,3
E00484,Other,Laboratory Technician,14004,3
E00485,Medical,Sales Executive,6219,7
E00486,Medical,Research Scientist,5013,5
E00487,Marketing,Sales Executive,3010,3
E00488,Life Sciences,Research Scientist,11757,1
E00489,Life Sciences,Healthcare Representative,5718,10
E00490,Other,Research Director,2671,1
E00491,Life Sciences,Research Scientist,14561,0
E00492,Medical,Laboratory Technician,19627,8
E00493,Life Sciences,Manager,17997,3
E00494,Life Sciences,Human Resources,26894,2
E00495,Technical Degree,Sales Representative,2912,8
E00496,Marketing,Sales Representative,16346,4
E00497,Technical Degree,Sales Representative,24444,3
E00498,Other,Manager,9358,2
E00499,Medical,Research Scientist,12145,2
E00500,Marketing,Sales Executive,20431,5
E00501,Life Sciences,Research Scientist,18089,6
E00502,Medical,Research Scientist,22653,1
E00503,Medical,Sales Executive,7507,14
E00504,Life Sciences,Research Scientist,7660,10
E00505,Life Sciences,Sales Executive,5630,1
E00506,Life Sciences,Laboratory Technician,17759,3
E00507,Other,Manufacturing Director,9606,10
E00508,Medical,Sales Executive,3487,6
E00509,Life Sciences,Research Scientist,19368,17
E00510,Life Sciences,Healthcare Representative,5335,13
E00511,Medical,Human Resources,6729,9
E00512,Medical,Manufacturing Director,13934,3
E00513,Medical,Research Scientist,15174,4
E00514,Medical,Research Scientist,26999,1
E00515,Life Sciences,Research Scientist,3164,10
E00516,Life Sciences,Laboratory Technician,16900,1
E00517,Medical,Research Scientist,8544,3
E00518,Life Sciences,Sales Executive,15678,3
E00519,Marketing,Sales Executive,7791,7
E00520,Life Sciences,Research Scientist,18959,10
E00521,Marketing,Sales Executive,18597,2
E00522,Medical,Sales Executive,16673,6
E00523,Life Sciences,Research Scientist,15232,1
E00524,Medical,Laboratory Technician,3297,20
E00525,Medical,Healthcare Representative,17654,8
E00526,Life Sciences,Sales Executive,24785,2
E00527,Technical Degree,Healthcare Representative,20978,20
E00528,Marketing,Sales Executive,21703,10
E00529,Technical Degree,Sales Executive,23452,4
